#,Status,Name,Preview,Filled,Animated,Category,Creative Freedom,Brief,Keywords,FigmaPath,Style,NodeId,HasOutlined,HasFilled,File
231,To Do,sunglasses,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/231-sunglasses.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/sunglasses,outlined,7791:2340,True,False,231-sunglasses.png
232,To Do,phone_incoming,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/232-phone_incoming.png"")",FALSE,FALSE,System,,,,outlined/system/phone_incoming,outlined,147:1829,True,False,232-phone_incoming.png
233,To Do,user_arrow_down,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/233-user_arrow_down.png"")",FALSE,FALSE,Human,,,,outlined/human/user_arrow_down,outlined,25206:2115,True,False,233-user_arrow_down.png
234,To Do,coffee,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/234-coffee.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/coffee,outlined,147:2091,True,False,234-coffee.png
235,To Do,thumbs_down,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/235-thumbs_down.png"")",FALSE,FALSE,Actions,,,,outlined/actions/feedbacks/thumbs_down,outlined,147:1763,True,False,235-thumbs_down.png
236,To Do,thief,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/236-thief.png"")",FALSE,FALSE,Objects,,,,outlined/objects/security/thief,outlined,147:1775,True,False,236-thief.png
237,To Do,esim,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/237-esim.png"")",FALSE,FALSE,Objects,,,,outlined/objects/health/esim,outlined,6140:1766,True,False,237-esim.png
238,To Do,mountains,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/238-mountains.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/mountains,outlined,7791:2326,True,False,238-mountains.png
239,To Do,airplane_takeoff,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/239-airplane_takeoff.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/airplane_takeoff,outlined,7791:2310,True,False,239-airplane_takeoff.png
240,To Do,bathtub,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/240-bathtub.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/bathtub,outlined,147:2112,True,False,240-bathtub.png
241,To Do,wheelchair,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/241-wheelchair.png"")",FALSE,FALSE,Human,,,,outlined/human/wheelchair,outlined,147:1853,True,False,241-wheelchair.png
242,To Do,facebook,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/242-facebook.png"")",FALSE,FALSE,Social,,,,outlined/social/facebook,outlined,147:1467,True,True,242-facebook.png
243,To Do,volume_up_filled,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/243-volume_up_filled.png"")",TRUE,FALSE,System,,,,filled/system/volume_up_filled,filled,26228:2187,False,True,243-volume_up_filled.png
244,To Do,health,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/244-health.png"")",FALSE,FALSE,Categories,,,,outlined/categories/transactions/health,outlined,147:2050,True,False,244-health.png
245,To Do,facebook_messenger,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/245-facebook_messenger.png"")",FALSE,FALSE,Social,,,,outlined/social/facebook_messenger,outlined,147:1469,True,True,245-facebook_messenger.png
246,To Do,share_android,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/246-share_android.png"")",FALSE,FALSE,UI Actions,,,,outlined/ui actions/common actions/share_android,outlined,147:1607,True,False,246-share_android.png
